Date,Open,High,Low,Close,Volume,AdjustedClose,Return,Cluster
1970-01-01 00:00:00.020151222,11050.0,11100.0,10925.0,11050.0,14565500,2156.073,-0.0045045045045044585,0
1970-01-01 00:00:00.020151223,11050.0,11125.0,10975.0,11100.0,6534000,2165.829,0.004524886877828038,0
1970-01-01 00:00:00.020151228,11000.0,11450.0,10975.0,11400.0,20106600,2224.365,0.027027027027026973,0
1970-01-01 00:00:00.020151229,11350.0,11425.0,11325.0,11400.0,11757300,2224.365,0.0,0
1970-01-01 00:00:00.020151230,11450.0,11525.0,11425.0,11425.0,26468300,2229.243,0.002192982456140413,0
1970-01-01 00:00:00.020160104,11400.0,11600.0,11200.0,11475.0,20075800,2238.999,0.004376367614879584,0
1970-01-01 00:00:00.020160105,11575.0,11825.0,11575.0,11575.0,21608600,2258.511,0.008714596949890963,0
1970-01-01 00:00:00.020160106,11400.0,11775.0,11400.0,11525.0,21025100,2248.755,-0.004319654427645814,0
1970-01-01 00:00:00.020160107,11350.0,11525.0,11250.0,11250.0,14255100,2195.097,-0.02386117136659438,0
1970-01-01 00:00:00.020160108,11250.0,11700.0,11250.0,11600.0,21300200,2263.389,0.03111111111111109,0
1970-01-01 00:00:00.020160111,11400.0,11525.0,11275.0,11375.0,22636600,2219.487,-0.0193965517241379,0
1970-01-01 00:00:00.020160112,11475.0,11725.0,11425.0,11600.0,23450200,2263.389,0.01978021978021971,0
1970-01-01 00:00:00.020160113,11675.0,11700.0,11575.0,11600.0,13700700,2263.389,0.0,0
1970-01-01 00:00:00.020160114,11350.0,11775.0,11350.0,11725.0,31863000,2287.779,0.010775862068965525,0
1970-01-01 00:00:00.020160115,11500.0,11650.0,11450.0,11450.0,20389700,2234.121,-0.023454157782516027,0
1970-01-01 00:00:00.020160118,11450.0,11525.0,11350.0,11400.0,12543300,2224.365,-0.004366812227074246,0
1970-01-01 00:00:00.020160119,11325.0,11500.0,11325.0,11500.0,12262600,2243.877,0.00877192982456143,0
1970-01-01 00:00:00.020160120,11400.0,11475.0,11000.0,11000.0,18536900,2146.317,-0.04347826086956519,0
1970-01-01 00:00:00.020160121,11200.0,11275.0,10750.0,10825.0,30890700,2112.171,-0.015909090909090873,0
1970-01-01 00:00:00.020160122,11100.0,11275.0,10925.0,11275.0,25883200,2199.975,0.04157043879907629,0
1970-01-01 00:00:00.020160125,11400.0,11425.0,11275.0,11425.0,18415700,2229.243,0.013303769401330268,0
1970-01-01 00:00:00.020160126,11400.0,11400.0,11200.0,11300.0,13178400,2204.853,-0.01094091903719907,0
1970-01-01 00:00:00.020160127,11400.0,11450.0,11300.0,11375.0,16194000,2219.487,0.006637168141592875,0
1970-01-01 00:00:00.020160128,11275.0,11350.0,11225.0,11250.0,17794300,2195.097,-0.01098901098901095,0
1970-01-01 00:00:00.020160129,11250.0,11350.0,11025.0,11225.0,46598700,2190.219,-0.0022222222222222365,0
1970-01-01 00:00:00.020160201,11350.0,11350.0,11125.0,11225.0,16706700,2190.219,0.0,0
1970-01-01 00:00:00.020160202,11100.0,11200.0,11025.0,11025.0,12064700,2151.195,-0.017817371937639215,0
1970-01-01 00:00:00.020160203,11000.0,11025.0,10875.0,10925.0,30849600,2131.683,-0.009070294784580546,0
1970-01-01 00:00:00.020160204,11050.0,11400.0,11050.0,11400.0,30129900,2224.365,0.04347826086956519,0
1970-01-01 00:00:00.020160205,11625.0,12300.0,11600.0,12300.0,93187000,2399.973,0.07894736842105265,0
1970-01-01 00:00:00.020160209,12100.0,12100.0,11800.0,11975.0,24723300,2336.559,-0.026422764227642226,0
1970-01-01 00:00:00.020160210,11825.0,12000.0,11750.0,11775.0,18511600,2297.535,-0.01670146137787054,0
1970-01-01 00:00:00.020160211,11725.0,11975.0,11725.0,11875.0,31627500,2317.047,0.00849256900212314,0
1970-01-01 00:00:00.020160212,11850.0,12000.0,11725.0,11800.0,28761200,2302.413,-0.0063157894736841635,0
1970-01-01 00:00:00.020160215,11900.0,11950.0,11800.0,11875.0,19602200,2317.047,0.006355932203389925,0
1970-01-01 00:00:00.020160216,11875.0,11975.0,11875.0,11925.0,15191400,2326.803,0.004210526315789442,0
1970-01-01 00:00:00.020160217,11925.0,11950.0,11850.0,11950.0,15390200,2331.681,0.002096436058700135,0
1970-01-01 00:00:00.020160218,12000.0,12050.0,11875.0,12000.0,24567200,2341.437,0.004184100418409997,0
1970-01-01 00:00:00.020160219,11350.0,11625.0,11250.0,11450.0,66613600,2234.121,-0.04583333333333328,0
1970-01-01 00:00:00.020160222,11450.0,11450.0,10950.0,10975.0,51743400,2141.439,-0.04148471615720528,0
1970-01-01 00:00:00.020160223,11000.0,11025.0,10525.0,10600.0,54608200,2068.269,-0.034168564920273314,0
1970-01-01 00:00:00.020160224,10600.0,10775.0,10525.0,10675.0,51762600,2082.903,0.007075471698113178,0
1970-01-01 00:00:00.020160225,10700.0,10725.0,10425.0,10450.0,35460700,2039.001,-0.021077283372365363,0
1970-01-01 00:00:00.020160226,10525.0,10850.0,10500.0,10850.0,39547500,2117.049,0.038277511961722466,0
1970-01-01 00:00:00.020160229,10850.0,11075.0,10825.0,11075.0,37155300,2160.951,0.02073732718894017,0
1970-01-01 00:00:00.020160301,11000.0,11100.0,10650.0,10700.0,29626300,2087.781,-0.033860045146726914,0
1970-01-01 00:00:00.020160302,10900.0,11075.0,10900.0,10975.0,32279100,2141.439,0.025700934579439227,0
